,link-rumah-href,Judul,Alamat,Kamar Tidur,Kamar Mandi,Harga,Luas Bangunan,Luas Tanah,Listrik,Jenis Interior,Tempat Parkir,Latitude,Longitude,Harga per m^2,Interior_Lengkap,Interior_Multiple options available,Interior_Sebagian,Interior_Tak Berperabot
3480,https://www.rumah.com/listing-properti/dijual-rumah-luas-dago-resort-siap-pakai-udara-sejuk-berada-di-kawasan-bandung-utara-oleh-aminah-19993750,Rumah Siap Pakai Dan Luas Dalam Komplek Dago Resort Bandung Utara,"Dago Resort, Dago, Bandung, Jawa Barat",8,5,14000000000.0,800.0,1100.0,6600,Multiple options available,6,0.7893,113.9213,1272727.0,0,1,0,0
3483,https://www.rumah.com/listing-properti/dijual-turun-harga-jual-cepat-rumah-super-lux-istimewa-4-lantai-di-setra-duta-ada-lift-oleh-andress-t-yogiarius-h-sh-19519405,"Kualitas Bangunan Level Gedung Bertingkat, Arsitek Subianto & Siane","Cluster Setra Duta, Setra Duta, Bandung, Jawa Barat",8,7,20000000000.0,1000.0,735.0,13300,Sebagian,10,-6.8781348,107.5704854,2721088.0,0,0,1,0
3484,https://www.rumah.com/listing-properti/dijual-turun-harga-jual-cepat-rumah-mewah-lux-istimewa-4-lantai-ada-lift-di-setra-duta-oleh-andress-t-yogiarius-h-sh-20545681,"Konstruksi Setara Gedung Bertingkat, Banyak Fasilitas,","Setra Duta, Bandung Utara, Bandung, Jawa Barat",5,5,19999000000.0,1000.0,735.0,13300,Sebagian,10,-6.9174639,107.6191228,2720952.0,0,0,1,0
3485,https://www.rumah.com/listing-properti/dijual-harga-menarik-rumah-sangat-terawat-siap-huni-di-margahayu-raya-oleh-andress-t-yogiarius-h-sh-19380836,"Sirkulasi Udara Dalam Rumah Sangat Baik, Unit Sangat Recommended!","Margahayu Raya Barat Metro, Margahayu, Bandung, Jawa Barat",5,3,800000000.0,175.0,90.0,1300,Tak Berperabot,1,-6.9757129,107.5801033,888888.0,0,0,0,1
3487,https://www.rumah.com/listing-properti/dijual-rumah-strategis-cocok-untuk-usaha-di-srimahi-dkt-bkr-dan-moch-ramdhan-oleh-ronny-irawan-19575834,Harga Nego Rumah strategis area Bkr Moch Ramdhan cocok untuk usaha,"Bkr Kembar, Bandung, Jawa Barat",4,2,2200000000.0,170.0,214.0,2200,Multiple options available,1,0.7893,113.9213,1028037.0,0,1,0,0
3489,https://www.rumah.com/listing-properti/dijual-cluster-antapani-makmur-oleh-dickit-setiadi-yetris-19039237,Rumah Baru Mewah Murah Di Antapani Lama Terusan Jakarta Bandung 1 M,"Jl.Antapani Lama, Antapani Bandung, Antapani, Bandung, Jawa Barat",2,2,1200000000.0,66.0,103.0,1300,Multiple options available,1,0.7893,113.9213,1165048.0,0,1,0,0
3490,https://www.rumah.com/listing-properti/dijual-rumah-bagus-2-lantai-oleh-t-budiman-20914606,Rumah Minimalis 2 Lantai,"Mekar Wangi, Mekar Wangi, Bandung, Jawa Barat",5,4,5750000000.0,550.0,200.0,5500,Multiple options available,2,0.7893,113.9213,2875000.0,0,1,0,0
3492,https://www.rumah.com/listing-properti/dijual-rumah-terawat-di-pondok-hijau-ciwaruga-geger-kalong-bandung-utara-oleh-dian-20008794,Dijual rumah bagus dalam komplek elit Bandung utara,"Geger kalong, Geger Kalong, Bandung, Jawa Barat",4,3,1850000000.0,150.0,140.0,2200,Tak Berperabot,2,-6.8660066,107.5875009,1321428.0,0,0,0,1
3493,https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-hoek-hitung-tanah-di-cijawura-margacinta-buahbatu-oleh-dian-20634684,Rumah hitung tanah murah di margacinta buahbatu,"margacinta, Buahbatu, Bandung, Jawa Barat",4,1,695000000.0,92.0,204.0,1300,Tak Berperabot,1,-6.9557189,107.6542139,340686.0,0,0,0,1
3494,https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-murah-dalam-komplek-soekarno-hatta-bandung-oleh-dian-20607273,Dijual cepat rumah bergaya ethnic di soekarno hatta bandung,"soekarno hatta, Margahayu, Bandung, Jawa Barat",3,2,980000000.0,83.0,91.0,1300,Lengkap,1,-6.254615,107.0096553,1076923.0,1,0,0,0
